site_code,site_name,collection_year,elevation,latitude,longitude,Aridity,Light,plot,block,treatment_name,N,P,Kµ,Rootsgperm2,rootmassfraction
bnch.us,Bunchgrass (Andrews LTER),2011,1318.083,44.27668543,-121.9680169,1.7054,0.371309525,1,1,NK,1,0,1,1081.146393,0.808003668
bnch.us,Bunchgrass (Andrews LTER),2011,1318.083,44.27668543,-121.9680169,1.7054,0.371309525,20,2,Control,0,0,0,1525.275709,0.889049226
bnch.us,Bunchgrass (Andrews LTER),2011,1318.083,44.27668543,-121.9680169,1.7054,0.371309525,7,1,Control,0,0,0,950.2711526,0.907855115
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,5,1,NPK,1,1,1,625.163114,0.42356283
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,30,3,NK,1,0,1,453.9554391,0.285236499
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,8,1,NP,1,1,0,416.9729979,0.266816101
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,6,1,NK,1,0,1,314.9748585,0.381129458
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,1,1,N,1,0,0,753.3460459,0.431384174
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,23,3,NPK,1,1,1,324.3761197,0.301836166
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,21,3,Control,0,0,0,393.6178903,0.402526654
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,11,2,Control,0,0,0,376.6698079,0.344850517
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,7,1,K,0,0,1,352.6673595,0.22926272
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,19,2,N,1,0,0,629.8594416,0.437141489
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,13,2,P,0,1,0,529.0532427,0.436331404
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,2,1,PK,0,1,1,543.8218924,0.475567539
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,25,3,NP,1,1,0,851.5639049,0.507483223
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,29,3,PK,0,1,1,368.4624432,0.456293208
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,14,2,NP,1,1,0,541.5274124,0.365828329
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,22,3,N,1,0,0,1075.110355,0.504613893
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,20,2,K,0,0,1,407.7258251,0.435778721
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,12,2,PK,0,1,1,268.7109839,0.286606406
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,18,2,NK,1,0,1,428.646964,0.329083692
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,10,1,P,0,1,0,415.5734275,0.357429195
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,15,2,NPK,1,1,1,292.0115678,0.249228596
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,3,1,Control,0,0,0,245.6226847,0.3691228
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,27,3,P,0,1,0,257.5202984,0.315406818
bogong.au,Bogong,2012,1760,-36.874,147.254,1.9159,0.741290293,24,3,K,0,0,1,543.6811746,0.436172792
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,29,3,K,0,0,1,210.7363647,0.660333287
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,15,2,P,0,1,0,24.03563753,0.152863803
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,25,3,NP,1,1,0,42.83753166,0.456750816
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,6,1,NP,1,1,0,571.6244731,0.747637403
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,28,3,NPK,1,1,1,98.81940347,0.435098904
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,17,2,N,1,0,0,22.60152546,0.310240936
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,24,3,Control,0,0,0,149.5854422,0.421206741
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,13,2,K,0,0,1,22.62809501,0.108253845
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,26,3,PK,0,1,1,316.4099014,0.578065548
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,19,2,PK,0,1,1,23.72775459,0.176116307
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,11,2,NP,1,1,0,20.6012784,0.343920513
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,3,1,NPK,1,1,1,23.37138536,0.271534904
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,4,1,N,1,0,0,23.88420519,0.151709123
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,1,1,Control,0,0,0,187.2528987,0.443359114
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,18,2,NK,1,0,1,250.0931335,0.783885021
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,22,3,NK,1,0,1,88.77941981,0.404315759
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,10,1,K,0,0,1,37.40760562,0.147066983
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,2,1,NK,1,0,1,227.7903392,0.667927846
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,20,2,Control,0,0,0,72.19319582,0.421459799
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,8,1,P,0,1,0,104.3894215,0.516806379
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,16,2,NPK,1,1,1,22.85752647,0.253810285
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,21,3,N,1,0,0,30.16662162,0.218730863
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,9,1,PK,0,1,1,355.0763054,0.640612456
burrawan.au,Burrawan,2012,425,-27.734896,151.139517,0.432,0.676422857,23,3,P,0,1,0,25.98639456,0.142950162
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,46,4,Control,0,0,0,102.7056287,0.284972321
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,57,6,NK,1,0,1,218.4372541,0.298070619
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,1,1,Control,0,0,0,160.5602846,0.382095085
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,21,2,NP,1,1,0,167.9139861,0.250930997
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,12,1,PK,0,1,1,172.3866766,0.521299129
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,6,1,NK,1,0,1,137.6277727,0.404100866
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,64,6,P,0,1,0,173.3708656,0.392312016
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,28,3,NPK,1,1,1,233.155437,0.428236034
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,66,6,N,1,0,0,96.87707641,0.15594471
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,22,2,K,0,0,1,125.8649028,0.276586707
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,9,1,P,0,1,0,198.5735018,0.512350563
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,16,2,N,1,0,0,38.76371836,0.350442232
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,10,1,K,0,0,1,175.3626924,0.360485388
cbgb.us,Chichaqua Bottoms,2011,275,41.78506667,-93.38538333,0.849,0.118858757,51,5,NP,1,1,0,71.45023763,0.20143837
