id,co2,inoc,n.trt,rep,sow_date,rack,germ_date,thin_date,harvest_date,focal.area,tla,focal.biomass,leaf.biomass,chlor.biomass,stem.biomass,root.biomass,nodule.biomass,total.biomass,nod.root.ratio,nmass.focal,nmass.nod,nmass.tl,nmass.tr,nmass.ts,cmass.focal,cmass.nod,cmass.tl,cmass.tr,cmass.ts,chlA.ugml,chlB.ugml,chlA.gml,chlB.gml,chlA.g,chlB.g,chlA.gm2,chlB.gm2,chlA.mmolm2,chlB.mmolm2,chl.mmolm2,chlA.chlB,disk.area,chl.leaf.area,tleaf,anet,anet.growth,gsw,gsw.growth,ci.ca,vcmax25,jmax25,jmax25.vcmax25,rd25,tpu,leaf.d13c,leaf.d15n,ndfa,chi,beta,marea,narea,p.rubisco,p.bioe,p.lightharv,p.photo,p.structure,pnue,pnue.growth,iwue,iwue.growth,stomlim,leaf.totaln,stem.totaln,root.totaln,root.totalc,nod.totaln,nod.totalc,wpn,cbg,ncost,bvr
a_y_350_104,amb,inoc,350,104,8/13/22,5b,8/19/22,8/23/22,10/2/22,30.781,548.742,0.143,2.695,0.118,1.598,2.873,0.134,7.418,0.046641142,0.0489,0.0528,0.0408,0.0154,0.0142,0.4424,0.4538,0.4343,0.4239,0.4065,3.1093,1.0409,3.11E-06,1.04E-06,3.11E-05,1.04E-05,0.1056,0.0354,0.1182,0.039,0.1572,2.9871,2.943,22.908,25.026,22.139,22.139,0.31,0.31,0.659,104.669,173.212,1.655,1.561,10.907,-27.08,18.94,8.04,0.6363,100.3179,46.4572,2.2713,0.3597,0.0607,0.0227,0.443,0.0324,9.747307143,9.747307143,71.4161,71.4161,0.3031,0.1228,0.0228,0.0444,1.2178,0.0071,0.0608,0.197,1.2787,6.4914,1.236
a_y_630_105,amb,inoc,630,105,8/13/22,1b,8/18/22,8/23/22,10/2/22,24.642,340.353,0.118,1.779,0.107,0.925,1.197,0.02,4.028,0.016708438,0.0589,0.0529,0.0434,0.0212,0.0246,0.4436,0.4456,0.446,0.4254,0.3888,3.6683,0.9468,3.67E-06,9.47E-07,3.67E-05,9.47E-06,0.1215,0.0314,0.136,0.0346,0.1705,3.8744,3.019,20.662,25.019,22.635,22.635,0.328,0.328,0.677,115.812,198.996,1.718,3.782,11.354,-26.07,11.9,7.43,0.5895,66.0776,47.8857,2.8229,0.3202,0.0561,0.0203,0.3966,0.0272,8.018457143,8.018457143,69.0091,69.0091,0.316,0.0905,0.0227,0.0254,0.5092,0.0011,0.0089,0.1397,0.5181,3.7095,0.671
a_y_630_106,amb,inoc,630,106,8/13/22,5b,8/18/22,8/23/22,10/2/22,30.925,667.089,0.135,3.772,0.131,1.916,1.936,0.057,7.812,0.029442149,0.0626,0.0524,0.0569,0.0236,0.0187,0.4474,0.4548,0.4406,0.418,0.4142,3.7376,1.1481,3.74E-06,1.15E-06,3.74E-05,1.15E-05,0.1269,0.039,0.142,0.0429,0.1849,3.2554,2.946,23.828,25.033,22.972,22.972,0.417,0.417,0.727,106.955,182.943,1.71,2.916,10.722,-25.69,12.52,3.16,0.572,56.6461,43.654,2.7327,0.3055,0.0532,0.0195,0.3783,0.0247,8.406214286,8.406214286,55.0887,55.0887,0.2623,0.2314,0.0358,0.0457,0.8093,0.003,0.0259,0.3159,0.8352,2.6436,1.302
a_y_630_107,amb,inoc,630,107,8/13/22,6t,8/18/22,8/23/22,10/2/22,34.201,568.462,0.156,3.164,0.116,1.706,3.018,0.042,8.046,0.013916501,0.0587,0.0486,0.0444,0.0216,0.0231,0.4478,0.4474,0.439,0.4139,0.401,3.6855,1.1437,3.69E-06,1.14E-06,3.69E-05,1.14E-05,0.1243,0.0386,0.1391,0.0425,0.1816,3.2226,2.966,24.045,25.019,21.393,21.393,0.287,0.287,0.652,103.883,174.438,1.679,1.973,9.967,-25.31,13.67,0,0.5544,48.6062,45.6127,2.6779,0.3028,0.0518,0.0233,0.3779,0.0268,7.988657143,7.988657143,74.5401,74.5401,0.3122,0.1565,0.0393,0.0651,1.2492,0.002,0.0188,0.263,1.268,4.8217,1.341
a_y_630_108,amb,inoc,630,108,8/13/22,6t,8/19/22,8/23/22,10/2/22,31.425,430.514,0.157,1.913,0.158,1.071,3.276,0.04,6.458,0.012210012,0.0587,0.0496,0.0577,0.0234,0.0221,0.4483,0.449,0.4446,0.4256,0.401,4.2951,1.1569,4.30E-06,1.16E-06,4.30E-05,1.16E-05,0.1486,0.04,0.1663,0.0441,0.2104,3.7126,2.89,25.189,25.002,11.374,11.374,0.117,0.117,0.587,66.162,112.535,1.701,2.707,NA,-25.85,13.52,0,0.5794,60.4325,49.9602,2.9317,0.1761,0.0305,0.0208,0.2275,0.0278,3.879707143,3.879707143,97.2137,97.2137,0.3805,0.1289,0.0236,0.0766,1.3942,0.002,0.018,0.2312,1.4122,6.1087,1.076
a_n_0_109,amb,no.inoc,0,109,8/13/22,6b,8/19/22,8/23/22,10/2/22,20.596,167.968,0.078,0.601,0.056,0.371,0.516,0.173,1.717,0.335271318,0.0361,0.0618,0.0337,0.0386,0.015,0.4247,0.4408,0.4328,0.4233,0.3963,2.0161,0.6324,2.02E-06,6.32E-07,2.02E-05,6.32E-06,0.0668,0.021,0.0748,0.0231,0.0979,3.1879,3.017,14.385,24.999,14.376,14.376,0.14,0.14,0.561,87.779,149.242,1.7,2.767,8.609,-25.79,-1.16,86.38,0.5766,58.9826,37.8714,1.3687,0.5006,0.0867,0.0253,0.6126,0.0405,10.5036,10.5036,102.6857,102.6857,0.4291,0.0251,0.0056,0.0199,0.2184,0.0107,0.0763,0.0613,0.2947,4.8073,0.286
a_n_0_110,amb,no.inoc,0,110,8/13/22,1b,8/18/22,8/23/22,10/2/22,6.439,40.69,0.028,0.136,0.013,0.139,0.314,0,0.602,0,0.0122,NA,0.0126,0.0065,0.0052,0.3784,NA,0.3766,0.3706,0.4119,0,0.2785,0,2.79E-07,0,2.79E-06,0,0.0148,0,0.0163,0.0163,0,1.88,3.251,25.003,1.569,1.569,0.017,0.017,0.624,5.932,15.502,2.613,-0.289,1.145,-27.96,1.36,0,0.6771,146.6506,43.485,0.531,0.0872,0.0232,0.0122,0.1226,0.1266,2.955071429,2.955071429,92.2941,92.2941,0.2795,0.0022,7.00E-04,0.002,0.1164,0,0,0.005,0.1164,23.336,0.1
a_n_0_111,amb,no.inoc,0,111,8/13/22,4t,8/19/22,8/23/22,10/2/22,6.968,35.428,0.031,0.102,0.017,0.164,0.588,0,0.871,0,0.0124,NA,0.0151,0.0076,0.0061,0.3831,NA,0.3926,0.3821,0.4074,0,0.0293,0,2.93E-08,0,2.93E-07,0,0.0016,0,0.0017,0.0017,0,1.853,3.937,24.986,1.832,1.832,0.027,0.027,0.714,9.801,21.273,2.17,0.68,NA,-28.21,-0.01,46.96,0.6887,163.9889,44.4891,0.5494,0.1392,0.0308,0.0012,0.1712,0.1263,3.3343,3.3343,67.8519,67.8519,0.2494,0.0021,0.001,0.0045,0.2247,0,0,0.0076,0.2247,29.5999,0.145
a_n_0_112,amb,no.inoc,0,112,8/13/22,2t,8/18/22,8/23/22,10/2/22,13.508,108.095,0.049,0.395,0.034,0.268,0.283,0.117,1.097,0.413427562,0.0472,0.0603,0.0372,0.0151,0.0162,0.4279,0.462,0.4332,0.4029,0.4056,2.2912,0.6827,2.29E-06,6.83E-07,2.29E-05,6.83E-06,0.0768,0.0229,0.0859,0.0252,0.1111,3.3562,2.984,9.663,25.025,19.113,19.113,0.215,0.215,0.605,103.735,179.573,1.731,2.522,10.673,-25.24,-0.94,78.83,0.5512,47.2578,36.2748,1.714,0.4724,0.0833,0.0243,0.58,0.0305,11.15120714,11.15120714,88.8977,88.8977,0.3735,0.0186,0.0043,0.0043,0.114,0.0071,0.0541,0.0343,0.1681,4.9038,0.183
a_n_35_113,amb,no.inoc,35,113,8/13/22,3t,8/18/22,8/23/22,10/2/22,4.487,34.084,0.018,0.089,0.012,0.124,0.358,0,0.583,0,0.0287,NA,0.0246,0.0249,0.0077,0.3908,NA,0.4129,0.3785,0.3989,0.0543,0.0376,5.43E-08,3.76E-08,5.43E-07,3.76E-07,0.0047,0.0033,0.0053,0.0036,0.0089,1.4452,1.147,3.26,25,8.35,8.35,0.15,0.15,0.752,32.525,61.813,1.9,0.177,4.526,-28.43,16.4,0,0.6989,181.2496,40.1159,1.1497,0.2208,0.0428,0.0031,0.2666,0.0523,7.262628571,7.262628571,55.6667,55.6667,0.1797,0.003,0.001,0.0089,0.1355,0,0,0.0129,0.1355,10.4737,0.097
